original_product,matched_product,cosin_score
6679,7800,1.0
6679,4432,0.73204607
6679,2757,0.0
6679,362,0.0
6679,5783,0.0
6679,6867,0.0
6679,5806,0.0
6679,4119,1.0
6679,8963,1.0
6679,5019,0.0
6679,5650,0.0
6679,934,0.0
6679,4287,0.73204607
6679,3212,0.734591
6679,7177,0.40879756
6679,5743,0.4143706
6679,5796,0.0
6679,5775,0.0
6679,6878,0.40681854
6679,3575,0.73204607
6679,6218,0.0
6679,3638,0.53172123
6679,8296,0.0
6679,5661,0.0
6679,8921,0.0
6679,5715,1.0
6679,1993,0.0
6679,1949,0.611884
6679,3932,0.7417011
6679,5279,0.4143706
6679,5089,0.4143706
6679,9091,1.0
6679,6447,0.0
6679,3554,0.547841
6679,4532,0.4143706
6679,5771,0.0
6679,5077,0.0
6679,6759,0.0
6679,4103,0.73204607
6679,12,0.0
6679,6439,0.0
6679,557,0.611884
6679,4292,0.73204607
6679,2659,0.7417011
6679,5878,0.0
6679,764,0.60642916
6679,915,0.73204607
6679,2394,0.73204607
6679,721,0.0
6679,4142,0.73204607
6679,5481,0.0
6679,6751,0.0
6679,3637,0.734591
6679,6665,0.0
6679,5868,0.0
6679,4840,0.0
6679,6722,0.0
6679,6723,0.0
6679,3725,1.0
6679,4718,0.3204228
6679,2880,0.49089992
6679,6095,1.0
6679,5784,0.0
6679,3211,1.0
6679,3324,0.0
6679,5767,0.0
6679,2656,0.73204607
6679,5548,0.0
6679,6123,0.0
6679,5126,1.0
6679,5171,1.0
6679,6715,0.0
6679,4145,1.0
6679,2399,0.611884
6679,6541,0.0
6679,4734,0.4143706
6679,5679,0.0
6679,6039,0.0
6679,6415,0.0
6679,2983,0.60642916
6679,5466,1.0
6679,3259,0.0
6679,5897,0.0
6679,2114,0.5287764
6679,2969,0.44837213
6679,4695,0.0
6679,5887,0.0
6679,2620,0.73204607
6679,4906,0.0
6679,1586,0.0
6679,5363,0.60642916
6679,6265,0.40879756
6679,3326,0.0
6679,5131,0.4143706
6679,5864,0.0
6679,5672,0.0
6679,8867,1.0
6679,5127,1.0
6679,2003,0.0
6679,2590,0.73204607
6679,4106,1.0
6679,6443,0.0
6679,3403,0.0
6679,5787,0.0
6679,1324,0.73204607
6679,5893,0.0
6679,5952,0.0
6679,5793,0.0
6679,6534,0.0
6679,6868,0.0
6679,8862,1.0
6679,5881,0.0
6679,6664,0.0
6679,2398,0.61041087
6679,918,0.0
6679,6880,1.0
6679,8479,1.0
6679,5884,0.0
6679,7307,0.0
6679,5885,0.0
6679,6720,0.0
6823,2013,0.5072438
6823,7887,0.48156226
6823,8509,0.6911828
6823,5845,0.82047343
6823,2862,0.6953218
6823,7715,0.52829117
6823,16,0.57453895
6823,807,0.52826416
6823,6844,0.40758988
6823,2671,0.4091982
6823,2263,0.58229494
6823,3548,0.44326392
6823,5053,0.43855894
6823,3300,0.56166035
6823,9133,0.41468573
6823,410,0.614467
6823,8842,0.5524365
6823,6309,0.5976233
6823,1371,0.4080079
6823,6422,0.42622623
6823,6159,0.44326392
6823,3821,0.41925773
6823,6785,0.42622623
6823,7975,0.4371845
6823,3947,0.40116745
6823,6067,0.447979
6823,4018,0.5653609
6823,6315,0.4586757
6823,8342,0.7338883
6823,4667,0.43283746
6823,4242,0.4067822
6823,4723,0.4091982
6823,3849,0.51280886
6823,3823,0.40116745
6823,3031,0.42287055
6823,9165,0.40296322
6823,4167,0.5092589
6823,2693,0.64481676
6823,7922,0.44326392
6823,5008,0.5317461
6823,3772,0.40631098
6823,1058,0.4740972
6823,5275,0.41829452
6823,408,0.6438904
6823,5323,0.4055913
6823,7000,0.80092
6823,2691,0.50636166
6823,6150,0.43283746
